car_id,manufacturer,model,variant,folder,hero,front,rear,side,interior,dashboard,engine,wheels,detail
1,Nissan,GT-R,R34,01_Nissan_GT_R_R34,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_hero.jpg,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_front.jpg,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_rear.jpg,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_side.jpg,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_interior.jpg,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_dashboard.jpg,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_engine.jpg,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_wheels.jpg,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_detail.jpg
2,Nissan,GT-R,R35,02_Nissan_GT_R_R35,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_hero.jpg,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_front.jpg,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_rear.jpg,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_side.jpg,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_interior.jpg,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_dashboard.jpg,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_engine.jpg,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_wheels.jpg,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_detail.jpg
3,Nissan,370Z,,03_Nissan_370Z,03_Nissan_370Z/03_nissan_370z_hero.jpg,03_Nissan_370Z/03_nissan_370z_front.jpg,03_Nissan_370Z/03_nissan_370z_rear.jpg,03_Nissan_370Z/03_nissan_370z_side.jpg,03_Nissan_370Z/03_nissan_370z_interior.jpg,03_Nissan_370Z/03_nissan_370z_dashboard.jpg,03_Nissan_370Z/03_nissan_370z_engine.jpg,03_Nissan_370Z/03_nissan_370z_wheels.jpg,03_Nissan_370Z/03_nissan_370z_detail.jpg
4,Nissan,Silvia,S15,04_Nissan_Silvia_S15,04_Nissan_Silvia_S15/04_nissan_silvia_s15_hero.jpg,04_Nissan_Silvia_S15/04_nissan_silvia_s15_front.jpg,04_Nissan_Silvia_S15/04_nissan_silvia_s15_rear.jpg,04_Nissan_Silvia_S15/04_nissan_silvia_s15_side.jpg,04_Nissan_Silvia_S15/04_nissan_silvia_s15_interior.jpg,04_Nissan_Silvia_S15/04_nissan_silvia_s15_dashboard.jpg,04_Nissan_Silvia_S15/04_nissan_silvia_s15_engine.jpg,04_Nissan_Silvia_S15/04_nissan_silvia_s15_wheels.jpg,04_Nissan_Silvia_S15/04_nissan_silvia_s15_detail.jpg
5,Toyota,Supra,MK4,05_Toyota_Supra_MK4,05_Toyota_Supra_MK4/05_toyota_supra_mk4_hero.jpg,05_Toyota_Supra_MK4/05_toyota_supra_mk4_front.jpg,05_Toyota_Supra_MK4/05_toyota_supra_mk4_rear.jpg,05_Toyota_Supra_MK4/05_toyota_supra_mk4_side.jpg,05_Toyota_Supra_MK4/05_toyota_supra_mk4_interior.jpg,05_Toyota_Supra_MK4/05_toyota_supra_mk4_dashboard.jpg,05_Toyota_Supra_MK4/05_toyota_supra_mk4_engine.jpg,05_Toyota_Supra_MK4/05_toyota_supra_mk4_wheels.jpg,05_Toyota_Supra_MK4/05_toyota_supra_mk4_detail.jpg
6,Toyota,GR Supra,,06_Toyota_GR_Supra,06_Toyota_GR_Supra/06_toyota_gr_supra_hero.jpg,06_Toyota_GR_Supra/06_toyota_gr_supra_front.jpg,06_Toyota_GR_Supra/06_toyota_gr_supra_rear.jpg,06_Toyota_GR_Supra/06_toyota_gr_supra_side.jpg,06_Toyota_GR_Supra/06_toyota_gr_supra_interior.jpg,06_Toyota_GR_Supra/06_toyota_gr_supra_dashboard.jpg,06_Toyota_GR_Supra/06_toyota_gr_supra_engine.jpg,06_Toyota_GR_Supra/06_toyota_gr_supra_wheels.jpg,06_Toyota_GR_Supra/06_toyota_gr_supra_detail.jpg
7,Toyota,AE86,,07_Toyota_AE86,07_Toyota_AE86/07_toyota_ae86_hero.jpg,07_Toyota_AE86/07_toyota_ae86_front.jpg,07_Toyota_AE86/07_toyota_ae86_rear.jpg,07_Toyota_AE86/07_toyota_ae86_side.jpg,07_Toyota_AE86/07_toyota_ae86_interior.jpg,07_Toyota_AE86/07_toyota_ae86_dashboard.jpg,07_Toyota_AE86/07_toyota_ae86_engine.jpg,07_Toyota_AE86/07_toyota_ae86_wheels.jpg,07_Toyota_AE86/07_toyota_ae86_detail.jpg
8,Toyota,GR86,,08_Toyota_GR86,08_Toyota_GR86/08_toyota_gr86_hero.jpg,08_Toyota_GR86/08_toyota_gr86_front.jpg,08_Toyota_GR86/08_toyota_gr86_rear.jpg,08_Toyota_GR86/08_toyota_gr86_side.jpg,08_Toyota_GR86/08_toyota_gr86_interior.jpg,08_Toyota_GR86/08_toyota_gr86_dashboard.jpg,08_Toyota_GR86/08_toyota_gr86_engine.jpg,08_Toyota_GR86/08_toyota_gr86_wheels.jpg,08_Toyota_GR86/08_toyota_gr86_detail.jpg
9,Mazda,RX-7,FD,09_Mazda_RX_7_FD,09_Mazda_RX_7_FD/09_mazda_rx_7_fd_hero.jpg,09_Mazda_RX_7_FD/09_mazda_rx_7_fd_front.jpg,09_Mazda_RX_7_FD/09_mazda_rx_7_fd_rear.jpg,09_Mazda_RX_7_FD/09_mazda_rx_7_fd_side.jpg,09_Mazda_RX_7_FD/09_mazda_rx_7_fd_interior.jpg,09_Mazda_RX_7_FD/09_mazda_rx_7_fd_dashboard.jpg,09_Mazda_RX_7_FD/09_mazda_rx_7_fd_engine.jpg,09_Mazda_RX_7_FD/09_mazda_rx_7_fd_wheels.jpg,09_Mazda_RX_7_FD/09_mazda_rx_7_fd_detail.jpg
10,Mazda,RX-8,,10_Mazda_RX_8,10_Mazda_RX_8/10_mazda_rx_8_hero.jpg,10_Mazda_RX_8/10_mazda_rx_8_front.jpg,10_Mazda_RX_8/10_mazda_rx_8_rear.jpg,10_Mazda_RX_8/10_mazda_rx_8_side.jpg,10_Mazda_RX_8/10_mazda_rx_8_interior.jpg,10_Mazda_RX_8/10_mazda_rx_8_dashboard.jpg,10_Mazda_RX_8/10_mazda_rx_8_engine.jpg,10_Mazda_RX_8/10_mazda_rx_8_wheels.jpg,10_Mazda_RX_8/10_mazda_rx_8_detail.jpg
